010121,"Horses, Pure-Bred Breeding Animals"
010129,"Horses, Other"
010130,"Horses,  Asses"
010190,"Horses, Asses, Mules And Hinnies, Live - Not Pure-Bred"
010221,"Cattle,  Pure-Bred Breeding  Animals"
010229,"Cattle, Other"
010231,"Buffalo, Pure-Bred Breeding Animals"
010290,"Bovine, Live - Not Pure-Bred"
010310,"Swine, Live - Pure-Bred Breeding"
010391,"Swine, Live - Not Pure-Bred (Weight <50 G)"
010392,"Swine, Live - Not Pure-Bred (Weight >49G )"
010410,"Sheep, Live"
010420,"Goats, Live"
010511,"Poultry, Live - Of Gallus Domesticus Species (Weight <186G)"
010512,"Turkeys, Live"
010513,Ducks
010514,Geese
010515,Guinea Fowls
010594,"Fowls Of The Species Gallus Domesticus,  Live Domestic"
010599,"Poultry, Live - Not Of Gallus Domesticus Species (Weight >185G)"
010611,"Primates, Live"
010612,"Whales, Dolphins, Porpoises, Manatees And Dugongs; Seals, Sea Lions And Walruses"
010613,Camels And Other Camelids
010614,Rabbits And Hares
010619,"Mammals (Other Than Primates And Sea Mammals), Live"
010620,"Reptiles, Live"
010631,"Birds Of Prey, Live"
010632,"Parrots, Parakeets, Macaws, Cockatoos And Similar Birds, Live"
010639,"Other Birds, Live"
010641,Insects: Bees
010649,Insects: Other
010690,"Bees, Fishing Bait And Other Animals Nes"
020120,"Bovine, Cuts With Bone In - Fresh Or Chilled"
020130,"Bovine, Cuts Boneless - Fresh Or Chilled"
020220,"Bovine, Cuts With Bone In - Frozen"
020230,"Bovine, Cuts Boneless - Frozen"
020312,"Swine, Cuts With Bone In - Fresh Or Chilled"
020319,"Swine, Cuts Boneless - Fresh Or Chilled"
020321,"Swine, Carcasses And Half-Carcasses - Frozen"
020322,"Swine, Cuts With Bone In - Frozen"
020329,"Swine, Cuts Boneless - Frozen"
020410,"Lamb,  Carcasses And Half-Carcasses - Fresh Or Chilled"
020421,"Sheep, Carcasses And Half-Carcasses - Fresh Or Chilled"
020422,"Sheep, Cuts With Bone In - Fresh Or Chilled"
020423,"Sheep, Cuts Boneless - Fresh Or Chilled"
020430,"Lamb, Carcasses And Half-Carcasses - Frozen"
020441,"Sheep,  Carcasses And Half-Carcasses - Frozen"
020442,"Sheep,  Cuts With Bone In - Frozen"
020443,"Sheep,  Cuts Boneless - Frozen"
020450,"Goat Meat- Fresh, Chilled Or Frozen"
020610,Bovine Edible Offal - Fresh Or Chilled
020621,"Bovine Tongues, Edible Offal - Frozen"
020622,"Bovine Livers, Edible Offal - Frozen"
020629,Bovine Edible Offal Nes - Frozen
020630,"Swine, Edible Offal - Fresh Or Chilled"
020641,"Swine Livers, Edible Offal - Frozen"
020649,Swine Edible Offal Nes - Frozen
020680,"Sheep, Goat, Horse, Asses, Mule Or Hinny, Edible Offal - Fresh Or Chilled"
020690,"Sheep, Goat, Horse, Asses, Mule Or Hinny, Edible Offal - Frozen"
020711,"Fowls Of 'Gallus Domesticus' - Domestic, Whole - Fresh Or  Chilled"
020712,"Fowls Of 'Gallus Domesticus' - Domestic, Whole - Frozen"
020713,Cuts And Edible Offals Of Fowls Of 'Gallus Domesticus' - Domestic - Fresh Or  Chilled
020714,Cuts And Edible Offals (Incl Livers)  Of Fowls Of 'Gallus Domesticus' - Domestic - Frozen
020724,"Turkeys, Domestic, Whole -  Fresh Or Chilled"
020725,"Turkeys, Domestic, Whole -  Frozen"
020726,"Cuts And Edible Offals (Incl Livers) Of Turkeys, Domestic - Fresh Or Chilled"
020727,"Turkeys, Domestic, Cuts And Offal - Frozen"
020742,"Of Ducks: Not Cut In Pieces, Frozen"
020743,"Of Ducks, Fatty Livers, Fresh Or Chilled"
020744,"Of Ducks, Other, Fresh Or Chilled"
020745,"Of Ducks, Other, Frozen"
020752,"Of Geese, Not Cut Iin Pieces, Frozen Autres, Congelés"
020753,"Of Geese, Fatty Livers, Fresh Or Chilled"
020755,"Of Geese, Other, Frozen"
020760,Of Guinea Fowls
020810,"Rabbit Or Hare Meat And Edible Meat Offal - Fresh, Chilled Or Frozen"
020850,"Reptile Meat Or Edible Offal - Fresh, Chilled Or Frozen"
020860,Of Camels And Other Camelids
020890,"Meat And Edible Meat Offal, Nes,  Fresh, Chilled Or Frozen"
020910,Of Pigs
020990,"Of Pigs, Other"
021011,"Hams, Shoulders And Cuts Thereof, With Bone In - Cured"
021012,"Bellies, Streaky And Cuts Thereof, Of Swine - Cured"
021019,Swine Meat - Cured
021020,Bovine Meat - Cured
021093,Meat And Edible Meat Offal Of Reptiles - Cured
021099,Meat And Edible Meat Offal Nes - Cured
030111,Ornamental Fish: Freshwater (Live)
030119,Other: Ornamental Fish (Live)
030191,"Trout, Live"
030192,"Eels, Live"
030193,"Carp, Live"
030194,Atlantic And Pacific Bluefin Tunas
030199,Fish Live Nes
030211,Trout (Fresh Or Chilled) (Excl Fish Fillets)
030213,Pacific Salmon (Fresh Or Chilled) (Excl Fish Fillets)
030214,Atlantic Salmon And Danube Salmon (Fresh Or Chilled) (Excl Fish Fillets)
030219,Other Salmonidae Nes - Fresh Or Chilled (Excl Fish Fillets)
030221,Halibut - Fresh Or Chilled (Excl Fish Fillets)
030222,Plaice (Fresh Or Chilled) (Excl Fish Fillets)
030223,Sole (Fresh Or Chilled) (Excl Fish Fillets)
030224,Turbots (Fresh Or Chilled) (Excl Fish Fillets)
030229,Flatfish Nes - Fresh Or Chilled (Excl Fish Fillets)
030231,"Tunas, Albacore Or Longfinned - Fresh Or Chilled (Excl Fish Fillets)"
030232,"Tunas, Yellowfin - Fresh Or Chilled (Excl Fish Fillets)"
030233,Skipjack Or Stripe-Bellied Bonito - Fresh Or Chilled (Excl Fish Fillets)
030234,Bigeye Tunas - Fresh Or Chilled (Excl Fish Fillets)
030235,Atlantic And Pacific Bluefin Tunas (Fresh Or Chilled (Excl Fish Fillets)
